Number,Name,Double
34,Blueberry,0.8936307007700607
99,Potato,0.31585936493481703
92,Lettuce,0.8814729407374482
53,Grape,0.7815612123591109
78,Potato,0.796544441777948
9,Apple,0.055247494930629304
15,Tomato,0.8332720799469648
71,Strawberry,0.4745231265600338
69,Cucumber,0.8140233748057728
87,Grape,0.19211967835543187
74,Orange,0.039736905271171574
53,Lettuce,0.5137986407441265
20,Strawberry,0.22096625189838448
49,Strawberry,0.39482097672278427
3,Mango,0.5453092591805019
61,Banana,0.7267906275531462
79,Mango,0.0436612010758477
41,Apple,0.94524258282104
91,Carrot,0.09019217153915382
32,Mango,0.8003901765994987
62,Apple,0.1431859820704945
14,Tomato,0.7892730890852655
70,Grape,0.5229298667032328
89,Pepper,0.8396597181114539
89,Strawberry,0.5945451261308006
21,Carrot,0.02596977540248102
70,Potato,0.3729293229806949
98,Strawberry,0.6039370953737228
48,Grape,0.859952805293379
16,Apple,0.40585019231259023
59,Orange,0.4585340823964764
45,Apple,0.4841817329919541
68,Orange,0.6880462362657671
45,Banana,0.4111330556780558
76,Grape,0.41005977134182126
44,Spinach,0.9921679307247228
74,Orange,0.7309793083625135
75,Lettuce,0.018318958817747144
98,Lettuce,0.8329090909198676
12,Grape,0.8936162835318584
78,Pineapple,0.10510306437571937
22,Grape,0.8363650253134285
14,Broccoli,0.5675823859548972
1,Lettuce,0.550604088678688
46,Broccoli,0.1459718565042657
31,Broccoli,0.029419671182859375
14,Potato,0.06289203573898361
52,Pineapple,0.08269090885263641
18,Strawberry,0.9158355980335372
98,Orange,0.5149996675019813
12,Carrot,0.02376774155411976
48,Grape,0.5954019913706098
32,Tomato,0.9892273692281768
66,Lettuce,0.2576127802254764
30,Orange,0.16807002076308386
5,Tomato,0.04362887326233256
13,Strawberry,0.7506629831121306
14,Carrot,0.12485619542993387
50,Mango,0.8521579179867835
31,Grape,0.7002587170309074
51,Spinach,0.8154945935255979
20,Spinach,0.6210977528927392
79,Pineapple,0.6076027070705369
47,Lettuce,0.30879487141487516
23,Lettuce,0.4729324841850192
80,Potato,0.9416819375290452
76,Broccoli,0.4223382798650305
27,Orange,0.5714706244037048
38,Pineapple,0.287338106723079
53,Orange,0.9874935972469389
66,Orange,0.323838137735474
76,Pepper,0.9217659470249037
88,Spinach,0.07895340661886119
3,Carrot,0.32499368810494433
4,Apple,0.197117380307822
25,Pepper,0.43812098892167917
58,Banana,0.2278446016375517
73,Carrot,0.9815598627860894
25,Banana,0.5769504597619781
40,Spinach,0.5279009623639548
7,Broccoli,0.06881402419035498
91,Pepper,0.9920229850670941
85,Apple,0.33136377719101195
35,Pepper,0.4819220091408136
64,Banana,0.7030877863044743
24,Orange,0.38081896032629803
77,Mango,0.8419132440357656
58,Apple,0.0343381804796391
73,Blueberry,0.6267282083013471
82,Blueberry,0.3327880481758565
96,Mango,0.801947964024106
75,Spinach,0.033948621498157805
7,Grape,0.11738584331023194
55,Spinach,0.35053701398362636
55,Strawberry,0.9757207288794036
7,Mango,0.6085681762195273
33,Cucumber,0.2710000111949823
97,Carrot,0.7435625408031601
11,Grape,0.40562941491548465
24,Potato,0.38130667558846276
